Year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
2021-22,Playoffs,201152,133,Thaddeus Young,1610612761,TOR,6,14.5,1.5,3.0,0.5,0.2,1.2,0.143,0.2,0.7,0.25,1.2,1.8,3.0,1.7,0.8,0.2,0.5,3.3,6.5
2021-22,Playoffs,203939,134,Dwight Powell,1610612742,DAL,18,13.8,1.2,1.9,0.629,0.0,0.1,0.0,0.8,1.3,0.609,0.9,1.7,2.6,0.2,0.2,0.3,0.5,3.2,4.8
2021-22,Playoffs,1627788,135,Furkan Korkmaz,1610612755,PHI,9,6.8,1.2,2.6,0.478,0.4,1.1,0.4,0.2,0.2,1.0,0.1,1.2,1.3,0.4,0.1,0.1,0.2,3.1,3.6
2021-22,Playoffs,203920,136,Khem Birch,1610612761,TOR,6,10.5,1.3,2.7,0.5,0.3,0.7,0.5,0.0,0.0,0.0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,3.0,3.5
2021-22,Playoffs,1629680,136,Matisse Thybulle,1610612755,PHI,9,15.2,1.2,2.7,0.458,0.4,1.6,0.286,0.1,0.3,0.333,0.2,0.8,1.0,0.4,0.8,0.8,0.2,3.0,4.1
2021-22,Playoffs,1630230,136,Naji Marshall,1610612740,NOP,6,9.3,1.2,1.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0,0.5,0.5,1.0,0.8,0.2,0.2,0.5,3.0,4.2
2021-22,Playoffs,1627823,139,Juancho Hernangomez,1610612762,UTA,6,9.3,0.8,3.0,0.278,0.7,2.0,0.333,0.0,0.0,0.0,0.3,1.7,2.0,0.8,0.3,0.0,0.3,2.3,3.0
2021-22,Playoffs,1628975,140,Jevon Carter,1610612749,MIL,11,11.5,0.8,1.7,0.474,0.3,0.6,0.429,0.2,0.2,1.0,0.3,1.2,1.5,0.9,0.7,0.0,0.5,2.1,3.7
2021-22,Playoffs,1627814,141,Damion Lee,1610612744,GSW,16,7.8,0.8,2.1,0.382,0.3,1.0,0.25,0.1,0.2,0.667,0.3,1.3,1.6,0.4,0.1,0.0,0.4,2.0,2.4
2021-22,Playoffs,202355,142,Hassan Whiteside,1610612762,UTA,6,10.8,0.8,2.0,0.417,0.0,0.0,0.0,0.2,0.7,0.25,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.8,7.0
2021-22,Playoffs,1630182,143,Josh Green,1610612742,DAL,16,7.6,0.5,1.8,0.286,0.3,1.4,0.227,0.1,0.5,0.25,0.1,0.7,0.8,0.4,0.3,0.0,0.0,1.4,1.3
2021-22,Playoffs,1629750,144,Javonte Green,1610612741,CHI,5,14.4,0.6,3.4,0.176,0.0,1.2,0.0,0.2,0.4,0.5,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.4,2.8
,,1627789,145,Timothe Luwawu-Cabarrot,1610612737,ATL,4,5.5,0.5,1.0,0.5,0.3,0.8,0.333,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.0,0.3,1.3,1.8
,,202684,146,Tristan Thompson,1610612741,CHI,5,7.6,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.6,0.4,0.2,0.0,1.0,0.8,1.4
,,1630267,147,Facundo Campazzo,1610612743,DEN,4,3.3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.0,0.5,0.0,0.3
,,1630201,147,Malachi Flynn,1610612761,TOR,6,6.0,0.0,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.5,0.2,0.0,0.2,0.0,-0.2
2022-23,Playoffs,1626164,1,Devin Booker,1610612756,PHX,11,41.7,12.8,21.9,0.585,2.8,5.5,0.508,5.3,6.1,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,33.7,35.5
2022-23,Playoffs,1630162,2,Anthony Edwards,1610612750,MIN,5,39.8,11.0,22.8,0.482,3.0,8.6,0.349,6.6,7.8,0.846,0.6,4.4,5.0,5.2,1.8,2.0,1.6,31.6,31.0
2022-23,Playoffs,201939,3,Stephen Curry,1610612744,GSW,13,37.9,11.2,23.9,0.466,4.4,12.1,0.363,3.8,4.5,0.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,30.5,26.5
2022-23,Playoffs,203999,4,Nikola Jokic,1610612743,DEN,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,5.6,7.0,0.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,30.0,40.8
2022-23,Playoffs,1629027,5,Trae Young,1610612737,ATL,6,38.3,10.0,24.8,0.403,3.0,9.0,0.333,6.2,7.2,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4.0,29.2,25.5
2022-23,Playoffs,201142,6,Kevin Durant,1610612756,PHX,11,42.4,9.7,20.4,0.478,1.5,4.6,0.333,8.0,8.7,0.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,29.0,30.5
2022-23,Playoffs,1628973,7,Jalen Brunson,1610612752,NYK,11,40.3,9.9,20.9,0.474,2.4,7.3,0.325,5.6,6.2,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,27.8,26.3
2022-23,Playoffs,1628368,8,De'Aaron Fox,1610612758,SAC,7,38.6,10.0,23.6,0.424,3.0,9.0,0.333,4.4,5.9,0.756,1.7,3.7,5.4,7.7,2.1,0.6,4.0,27.4,24.3
2022-23,Playoffs,1628369,9,Jayson Tatum,1610612738,BOS,20,40.0,9.3,20.2,0.458,2.7,8.2,0.323,6.0,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,27.2,30.4
2022-23,Playoffs,202710,10,Jimmy Butler,1610612748,MIA,22,39.7,9.4,20.1,0.468,1.3,3.5,0.359,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,26.9,27.5
2022-23,Playoffs,1627750,11,Jamal Murray,1610612743,DEN,20,40.0,9.7,20.5,0.473,3.0,7.5,0.396,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,26.1,27.0
2022-23,Playoffs,1629630,12,Ja Morant,1610612763,MEM,5,37.4,9.0,21.2,0.425,2.6,6.2,0.419,4.0,5.2,0.769,1.6,5.2,6.8,7.0,1.8,0.2,3.4,24.6,23.6
2022-23,Playoffs,2544,13,LeBron James,1610612747,LAL,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,24.5,29.9
2022-23,Playoffs,203114,14,Khris Middleton,1610612749,MIL,5,34.6,8.0,17.2,0.465,2.6,6.4,0.406,5.2,6.0,0.867,1.4,5.0,6.4,6.2,0.6,0.0,3.4,23.8,23.6
2022-23,Playoffs,203954,15,Joel Embiid,1610612755,PHI,9,37.3,7.3,17.0,0.431,0.6,3.1,0.179,8.4,9.3,0.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,23.7,25.1
2022-23,Playoffs,201566,16,Russell Westbrook,1610612746,LAC,5,38.4,8.6,21.0,0.41,2.0,5.6,0.357,4.4,5.0,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4.0,23.6,24.2
2022-23,Playoffs,1630217,17,Desmond Bane,1610612763,MEM,6,38.5,8.2,19.3,0.422,2.7,8.3,0.32,4.5,4.8,0.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,23.5,18.8
2022-23,Playoffs,1628969,17,Mikal Bridges,1610612751,BKN,4,39.3,8.3,19.3,0.429,2.5,6.3,0.4,4.5,5.8,0.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,23.5,19.5
2022-23,Playoffs,1628378,19,Donovan Mitchell,1610612739,CLE,5,41.4,9.0,20.8,0.433,2.6,9.0,0.289,2.6,3.6,0.722,0.6,4.4,5.0,7.2,2.0,0.6,3.8,23.2,21.4
2022-23,Playoffs,1627749,20,Dejounte Murray,1610612737,ATL,5,38.0,9.2,20.6,0.447,2.8,7.4,0.378,1.8,1.8,1.0,1.8,5.4,7.2,6.8,2.0,0.2,2.0,23.0,25.8
2022-23,Playoffs,1627759,21,Jaylen Brown,1610612738,BOS,20,37.6,9.1,18.3,0.496,2.0,5.7,0.354,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,22.7,19.5
2022-23,Playoffs,203076,22,Anthony Davis,1610612747,LAL,16,38.0,8.3,15.9,0.52,0.3,0.9,0.333,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,22.6,32.9
2022-23,Playoffs,1626181,23,Norman Powell,1610612746,LAC,5,33.4,7.2,15.2,0.474,2.6,6.4,0.406,4.8,6.2,0.774,0.8,2.2,3.0,2.2,0.8,0.4,1.6,21.8,17.2
2022-23,Playoffs,1629636,24,Darius Garland,1610612739,CLE,5,37.8,7.0,16.0,0.438,2.4,6.2,0.387,4.2,5.0,0.84,0.0,1.8,1.8,5.0,1.6,0.2,3.6,20.6,15.8
2022-23,Playoffs,1630178,25,Tyrese Maxey,1610612755,PHI,11,38.5,7.5,17.5,0.427,3.1,7.7,0.4,2.5,2.8,0.903,0.8,4.0,4.8,2.3,1.4,0.5,0.7,20.5,18.5
