MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
32.85,3.6,7.6,1.4,1.85,17.0,1.5,3.95,2.7,0.9,6.35
25.2,4.8,11.4,2.6,3.5,11.5,2.3,2.3,4.1,1.2,3.2
18.367,1.8,4.5,1.533,2.067,7.167,0.733,1.233,2.033,0.633,1.633
26.133,3.933,9.067,1.433,1.567,10.933,1.2,2.367,4.267,1.567,2.233
32.65,6.55,13.35,1.75,2.15,20.35,2.4,6.275,5.1,2.075,3.725
17.25,1.95,3.55,0.45,0.8,8.65,1.05,2.25,1.45,0.55,2.95
17.3,2.5,5.8,1.2,1.9,7.8,0.5,0.7,3.2,1.1,3.1
19.8,2.2,5.4,1.0,1.2,8.0,0.8,1.4,3.7,1.4,2.2
36.133,8.033,18.167,4.767,6.167,24.633,3.2,5.067,6.4,2.267,8.433
24.333,2.867,6.967,0.567,0.7,8.467,0.633,1.533,5.033,1.9,2.133
27.3,4.2,8.3,2.2,3.4,20.4,2.3,4.0,1.2,0.3,8.1
20.5,3.367,6.133,1.067,1.667,10.1,0.8,1.233,1.733,0.567,2.733
33.05,8.2,15.85,4.65,5.5,25.8,3.0,3.3,5.1,2.1,7.0
34.2,8.95,17.3,4.35,4.95,26.45,1.9,4.4,4.9,2.0,5.15
31.7,5.1,11.25,1.05,1.3,14.55,0.8,1.45,6.45,2.5,3.8
18.95,2.9,5.7,1.3,1.6,9.5,0.8,1.1,1.5,0.55,2.8
30.65,6.225,13.475,2.725,3.575,16.25,1.45,2.4,4.925,1.725,4.475
26.567,4.133,8.2,2.3,2.733,16.7,2.067,3.667,3.6,1.333,4.867
29.067,5.633,12.8,2.167,3.033,14.067,1.167,1.3,5.767,1.867,3.667
21.65,4.2,9.1,0.75,0.85,9.85,1.15,1.95,4.45,1.65,2.05
18.25,2.6,5.15,0.3,0.6,9.0,0.85,1.8,1.9,0.8,2.5
19.9,2.6,5.9,0.8,1.2,8.9,1.2,1.6,2.7,1.1,3.0
30.375,3.85,8.6,1.475,1.7,11.475,1.1,2.15,4.5,1.825,2.375
37.2,10.0,19.1,4.8,5.6,27.7,3.3,5.0,5.4,2.2,6.1
28.55,4.7,10.3,0.8,1.0,12.975,1.1,2.925,5.825,2.2,2.875
15.1,2.4,5.3,0.7,1.0,6.6,0.8,0.5,3.0,1.0,2.3
21.25,3.55,8.55,1.75,2.1,13.75,1.2,2.05,5.6,2.05,5.8
32.8,6.05,14.1,2.75,3.85,17.5,3.15,5.95,6.65,2.45,3.85
20.025,2.3,3.85,0.825,1.325,12.6,0.65,2.075,0.075,0.025,4.425
27.0,4.3,10.9,2.5,3.0,11.2,2.5,4.4,5.9,2.0,2.6
22.8,2.8,5.7,1.4,1.9,11.7,0.7,1.3,0.8,0.2,3.2
32.9,7.15,15.65,3.5,3.95,21.05,2.75,5.4,6.0,2.35,5.0
